ID,Name,Type,Ground Cover,Motorway,Hedging,Wet,Dry,Coastal,Exposed,Poor soil,Native,Evergreen,Border_H,Specimen_H,Shade,Street_T,Specimen_T,Lime_T,Score
,Amelanchier canadensis,Shrub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Aucuba japonica 'Crotonifolia',Shrub,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,5
,Berberis darwinii & other species,Shrub,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,7
,Berberis thunbergii 'Nana',Shrub,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
,Berberis thunbergii,Shrub,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,6
,Brachyglottis 'Sunshine',Shrub,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,4
,Buxus sempervirens,Shrub,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3
,Buxus sempervirens 'Suffruticosa',Shrub,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,4
,Caryopteris clandonensis,Shrub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Ceanothus 'Blue Mound',Shrub,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3
,Ceonothus thyrsiflorus repens,Shrub,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3
,Ceratostigma willmottianum,Shrub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Choisya 'Aztec Pearl',Shrub,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
,Choisya ternata,Shrub,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
,Choisya ternata 'Sundance',Shrub,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
,Cistus 'Silver Pink',Shrub,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,5
,Cornus alba & cultivars,Shrub,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4
,Cornus sanguinea 'Mid Winter Fire',Shrub,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,6
,Cornus stolonifera 'Flaviramea',Shrub,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4
,Corylus avellana,Shrub,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3
,Cotinus coggygria  'Royal Purple',Shrub,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cotoneaster conspicuus  'Decorus',Shrub,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
,Cotoneaster dammeri,Shrub,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
,Cotoneaster franchetii,Shrub,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
,Cotoneaster horizontalis,Shrub,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
,Cotoneaster microphyllus,Shrub,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
,Cotoneaster simonsii,Shrub,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
,Cotoneaster  suecicus 'Skogholm',Shrub,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
,Cytisus praecox 'Allgold',Shrub,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3
,Eleagnus x ebbingei,Shrub,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
,Eleagnus pungens 'Maculata',Shrub,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
,Escallonia 'Apple Blossom',Shrub,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3
,Escallonia 'Red Elf',Shrub,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3
,Escallonia rubra 'Crimson Spire',Shrub,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3
,Euonymus fortunei 'Emerald Gaiety',Shrub,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,4
,Euonymus fortunei 'Emerald 'n' Gold',Shrub,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,4
,Genista lydia,Shrub,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,4
,Griselina littoralis,Shrub,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3
,Hebe albicans,Shrub,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,4
,Hebe albicans 'Red Edge',Shrub,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,4
,Hebe 'Autumn Glory',Shrub,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,3
,Hebe 'Mrs Winder',Shrub,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,3
,Hebe pinguifolia 'Pagei',Shrub,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,4
