ID,Name,Type,Suitability,Height,Width,Position,Hardiness,Link,
,Amelanchier canadensis,Shrub,,6,6,sun;part shade,H7,https://www.rhs.org.uk/plants/222499/amelanchier-canadensis-ambig/details,"A large erect deciduous shrub or small tree to 6m in height, of open habit, with oval, green-bronze leaves when young which turn shades of orange and red in autumn. Clusters of small, star-shaped white flowers are produced in spring followed by dark purple to black berries"
,Aucuba japonica 'Crotonifolia',Shrub,wet;dry;coastal;poor soil;evergreen;,2,2,sun;part shade,H5,https://www.rhs.org.uk/plants/95525/aucuba-japonica-crotonifolia-(f-v)/details,"Crotonifolia' is a compact medium-sized evergreen shrub with large leathery leaves heavily spotted and blotched with deep yellow. Flowers small, purple, female, followed by bright red berries when pollinate"
,Berberis darwinii & other species,Shrub,ground cover;motorway;hedging;dry;exposed;poor soil;evergreen,2,2,sun;part shade,H5,https://www.rhs.org.uk/plants/2105/berberis-darwinii/details,"A dense, medium-sized evergreen shrub, with dark glossy green, broadly oblong, sparsely-spined leaves, and drooping racemes of rich orange flowers, tinged red in bud, followed by blue-black berries"
,Berberis thunbergii 'Nana',Shrub,ground cover;hedging;dry,0.75,0.75,sun;part shade,H7,https://www.rhs.org.uk/plants/90145/berberis-thunbergii-f-atropurpurea-atropurpurea-nana/details,
,Berberis thunbergii,Shrub,ground cover;motorway;hedging;dry;exposed;poor soil,1.25,1.25,sun;part shade,H7,https://www.rhs.org.uk/plants/2183/berberis-thunbergii/details,
,Brachyglottis 'Sunshine',Shrub,dry;coastal;poor soil;evergreen,1.25,1.25,sun;part shade,H4,https://www.rhs.org.uk/plants/86133/brachyglottis-(dunedin-group)-sunshine/details,
,Buxus sempervirens,Shrub,hedging;native;evergreen,6,6,part shade;shade,H6,https://www.rhs.org.uk/plants/2579/buxus-sempervirens/details,
,Buxus sempervirens 'Suffruticosa',Shrub,hedging;coastal;native;evergreen,0.75,1,part shade;shade,H6,https://www.rhs.org.uk/plants/99372/buxus-sempervirens-suffruticosa/details,
,Caryopteris x clandonensis,Shrub,,0.75,0.75,sun,H4,https://www.rhs.org.uk/plants/92602/caryopteris-clandonensis/details,
,Ceanothus 'Blue Mound',Shrub,ground cover;coastal;evergreen,1.25,2,sun,H4,https://www.rhs.org.uk/plants/63246/ceanothus-blue-mound/details,
,Ceonothus thyrsiflorus repens,Shrub,ground cover;coastal;evergreen,1.25,3,sun,H4,https://www.rhs.org.uk/plants/94754/ceanothus-thyrsiflorus-var-repens/details,
,Ceratostigma willmottianum,Shrub,,0.75,1.25,sun;part shade,H4,https://www.rhs.org.uk/plants/3411/ceratostigma-willmottianum/details,
,Choisya 'Aztec Pearl',Shrub,dry;evergreen,2,2,sun,H4,https://www.rhs.org.uk/plants/29235/choisya-dewitteana-aztec-pearl/details,
,Choisya ternata,Shrub,dry;evergreen,2,2,sun,H4,,
,Choisya ternata 'Sundance',Shrub,dry;evergreen,2,2,sun,H4,https://www.rhs.org.uk/plants/96024/choisya-ternata-sundance-(-lich-)/details,
,Cistus 'Silver Pink',Shrub,ground cover;dry;coastal;poor soil;evergreen,0.75,0.75,sun,H3,https://www.rhs.org.uk/plants/89899/cistus-argenteus-silver-pink-ambig/details,
,Cornus alba & cultivars,Shrub,motorway;wet;poor soil;native,3.5,3.5,sun;part shade,H7,https://www.rhs.org.uk/plants/4379/cornus-alba-l/details,
,Cornus sanguinea 'Mid Winter Fire',Shrub,motorway;hedging;wet;exposed;poor soil;native,2,2,sun;part shade,H6,https://www.rhs.org.uk/plants/57639/cornus-sanguinea-midwinter-fire/details,
,Cornus Sericea 'Flaviramea',Shrub,motorway;wet;poor soil;native,2,3,sun;part shade,H7,https://www.rhs.org.uk/plants/4412/cornus-sericea-flaviramea/details,
,Corylus avellana,Shrub,hedging;poor soil;native,6,6,sun;part shade,H6,https://www.rhs.org.uk/plants/4511/corylus-avellana-(f)/details,
,Cotinus coggygria  'Royal Purple',Shrub,,6,6,sun;part shade,H5,https://www.rhs.org.uk/plants/97746/cotinus-coggygria-royal-purple/details,
,Cotoneaster conspicuus  'Decorus',Shrub,ground cover;dry;evergreen,1.25,2,sun;part shade,H6,https://www.rhs.org.uk/plants/95985/cotoneaster-conspicuus-decorus/details,
,Cotoneaster dammeri,Shrub,ground cover;dry;evergreen,0.3,2,sun;part shade,H6,https://www.rhs.org.uk/plants/4590/cotoneaster-dammeri/details,
,Cotoneaster franchetii,Shrub,ground cover;dry;evergreen,3,3,sun;part shade,H6,https://www.rhs.org.uk/plants/4598/cotoneaster-franchetii/details,
,Cotoneaster  suecicus 'Skogholm',Shrub,ground cover;dry,0.75,3.5,sun;part shade,H6,https://www.rhs.org.uk/plants/82394/cotoneaster-suecicus-skogholm/details,"An evergreen ground-covering shrub to a height of 60cm, with oval, dark green leaves up to 2cm in length. In late spring, white flowers are borne in small bunches or singly; red berries follow"
,Cytisus praecox 'Allgold',Shrub,motorway;dry;evergreen,,,,,,
,Eleagnus x ebbingei,Shrub,coastal;evergreen,,,,,,
,Eleagnus pungens 'Maculata',Shrub,coastal;evergreen,,,,,,
,Escallonia 'Apple Blossom',Shrub,hedging;coastal;evergreen,,,,,,
,Escallonia 'Red Elf',Shrub,hedging;coastal;evergreen,,,,,,
,Escallonia rubra 'Crimson Spire',Shrub,hedging;coastal;evergreen,,,,,,
,Euonymus fortunei 'Emerald Gaiety',Shrub,ground cover;hedging;coastal;evergreen,,,,,,
,Euonymus fortunei 'Emerald 'n' Gold',Shrub,ground cover;hedging;coastal;evergreen,,,,,,
,Genista lydia,Shrub,ground cover;dry;coastal;evergreen,,,,,,
,Griselina littoralis,Shrub,hedging;coastal;evergreen,,,,,,
,Hebe albicans,Shrub,ground cover;dry;coastal;evergreen,,,,,,
,Hebe albicans 'Red Edge',Shrub,ground cover;dry;coastal;evergreen,,,,,,
,Hebe 'Autumn Glory',Shrub,dry;coastal;evergreen,,,,,,
,Hebe 'Mrs Winder',Shrub,dry;coastal;evergreen,,,,,,
,Hebe pinguifolia 'Pagei',Shrub,ground cover;dry;coastal;evergreen,,,,,,
,Hebe rakaiensis,Shrub,ground cover;dry;coastal;evergreen,,,,,,
,Hebe vernicosa,Shrub,ground cover;dry;coastal;evergreen,,,,,,
,Hedera colchica 'Dentata Variegata',Shrub,ground cover;dry;evergreen,,,,,,
,Hedera helix,Shrub,ground cover;motorway;dry;poor soil;native;evergreen,,,,,,
,Hedera helix 'Green Ripple',Shrub,ground cover;motorway;dry;poor soil;native;evergreen,,,,,,
,Hedera helix 'Hibernica',Shrub,ground cover;motorway;dry;poor soil;native;evergreen,,,,,,
,Hypericum calycinum,Shrub,ground cover;motorway;wet;dry;coastal;native;evergreen,,,,,,
